Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgR002_g136,17.91,-0.65,1.47,-0.44,0.66,0.81
PgR002_g137,704.60,0.21,0.38,0.56,0.58,0.76
PgR002_g138,3635.78,0.11,0.20,0.55,0.58,0.76
PgR002_g144,2569.27,-0.65,0.34,-1.95,0.05,0.18
PgR002_g145,2846.71,-0.27,0.32,-0.84,0.40,0.62
PgR002_g146,1642.29,0.27,0.12,2.26,0.02,0.11
PgR002_g147,4740.28,3.14,0.57,5.52,0.00,0.00
PgR002_g148,20.20,1.74,0.77,2.25,0.02,0.11
PgR002_g149,4292.22,-0.05,0.35,-0.14,0.89,0.95
PgR002_g150,2989.89,-0.04,0.26,-0.15,0.88,0.94
PgR002_g151,6495.01,0.15,0.17,0.90,0.37,0.59
PgR002_g153,750.53,0.83,0.50,1.66,0.10,0.27
PgR002_g154,1565.48,0.27,0.21,1.27,0.20,0.42
PgR002_g155,2.30,1.60,1.24,1.29,0.20,0.41
PgR002_g156,5902.84,-0.55,0.20,-2.69,0.01,0.05
PgR002_g157,1929.88,0.89,0.33,2.65,0.01,0.05
PgR002_g158,754.32,0.32,0.31,1.03,0.30,0.52
PgR002_g159,3209.02,2.54,0.66,3.86,0.00,0.00
PgR002_g160,2746.40,-0.04,0.14,-0.26,0.79,0.90
PgR002_g162,23.75,7.89,1.40,5.62,0.00,0.00
PgR002_g163,1545.81,0.04,0.18,0.24,0.81,0.91
PgR002_g164,17.36,6.19,1.73,3.58,0.00,0.01
PgR002_g165,1570.35,-0.19,0.16,-1.15,0.25,0.47
PgR002_g166,217.88,0.70,0.29,2.40,0.02,0.08
PgR002_g167,14.27,4.16,0.94,4.45,0.00,0.00
PgR002_g168,360.83,1.16,0.27,4.34,0.00,0.00
PgR002_g170,574.47,-0.43,0.26,-1.61,0.11,0.28
PgR002_g175,142.63,0.22,0.42,0.54,0.59,0.77
PgR002_g176,2738.35,-0.32,0.20,-1.59,0.11,0.29
PgR002_g177,713.51,-0.16,0.25,-0.65,0.52,0.72
PgR002_g178,771.48,0.25,0.24,1.03,0.30,0.53
PgR002_g179,611.99,-0.35,0.17,-2.04,0.04,0.15
PgR002_g180,1564.93,-0.99,0.57,-1.74,0.08,0.24
PgR205_g002,79.42,5.85,1.57,3.72,#N/A,#N/A
PgR026_g098,78.66,6.65,1.57,4.24,#N/A,#N/A
PgR002_g183,209.36,0.42,0.56,0.76,0.45,0.66
PgR002_g184,7106.22,3.64,1.03,3.52,0.00,0.01
PgR002_g185,634.57,1.59,0.55,2.87,0.00,0.03
PgR002_g187,51.13,0.81,1.30,0.62,0.53,0.73
PgR002_g188,455.14,3.27,0.64,5.08,0.00,0.00
PgR002_g189,5451.98,-0.76,0.38,-2.00,0.05,0.16
PgR002_g190,298.21,-2.50,0.56,-4.47,0.00,0.00
PgR002_g193,356.00,3.45,1.16,2.97,0.00,0.03
PgR002_g194,30.96,-0.10,0.98,-0.10,0.92,0.96
PgR002_g195,246.38,1.29,0.90,1.44,0.15,0.35
PgR002_g196,1150.91,0.12,0.16,0.73,0.47,0.67
PgR002_g198,303.25,0.52,0.59,0.88,0.38,0.60
PgR002_g199,160.87,0.57,0.57,1.01,0.31,0.54
PgR002_g200,67795.34,-0.14,0.23,-0.62,0.54,0.73
PgR002_g201,40.35,1.22,1.17,1.04,0.30,0.52
PgR002_g203,41.93,1.05,1.18,0.89,0.37,0.59
PgR002_g204,10.40,7.40,1.98,3.73,0.00,0.00
PgR002_g205,2989.87,0.59,0.57,1.04,0.30,0.52
PgR002_g208,1382.71,0.34,0.61,0.56,0.58,0.76
PgR002_g209,16.74,2.57,1.21,2.12,0.03,0.13
PgR002_g210,4641.09,-0.69,0.35,-1.96,0.05,0.17
PgR002_g211,314.75,-0.65,0.28,-2.31,0.02,0.10
PgR002_g212,238.11,-0.16,0.63,-0.25,0.80,0.90
PgR002_g213,6274.32,-0.16,0.25,-0.65,0.51,0.71
PgR002_g214,73.10,0.85,0.83,1.03,0.30,0.53
PgR002_g215,4178.05,-0.65,0.29,-2.21,0.03,0.12
PgR002_g216,5.55,1.39,1.52,0.91,0.36,0.58
PgR002_g219,3569.73,-0.59,0.28,-2.13,0.03,0.13
PgR002_g220,333.31,0.00,0.21,0.02,0.98,0.99
PgR002_g221,10579.08,-0.36,0.28,-1.31,0.19,0.40
PgR002_g222,88.89,-0.24,0.40,-0.60,0.55,0.74
PgR002_g223,7591.99,0.27,0.35,0.77,0.44,0.65
PgR002_g225,1122.02,0.57,0.67,0.85,0.40,0.62
PgR002_g226,37.03,-1.32,1.52,-0.87,0.38,0.60
PgR002_g227,252.98,0.11,0.33,0.33,0.74,0.86
PgR002_g228,32.00,0.27,0.38,0.70,0.48,0.69
PgR002_g229,23.14,4.72,0.98,4.83,0.00,0.00
PgR002_g230,182.06,0.27,0.28,0.96,0.34,0.56
PgR002_g231,14.58,2.12,0.87,2.45,0.01,0.08
PgR002_g232,71613.45,-0.02,0.18,-0.11,0.91,0.96
PgR002_g236,486.69,0.62,0.63,0.98,0.33,0.55
PgR002_g237,315.87,0.00,0.33,-0.01,0.99,0.99
PgR002_g238,1148.98,-0.23,0.14,-1.59,0.11,0.29
PgR002_g239,2040.99,-0.14,0.17,-0.79,0.43,0.65
PgR002_g240,357.70,0.12,0.20,0.60,0.55,0.74
PgR002_g241,498.22,-0.34,0.24,-1.45,0.15,0.34
PgR002_g242,1002.93,-0.10,0.23,-0.44,0.66,0.82
PgR002_g243,367.93,0.27,0.28,0.96,0.34,0.56
PgR002_g244,2.20,0.74,1.82,0.41,0.68,0.83
PgR002_g246,20.66,9.56,1.56,6.11,0.00,0.00
PgE069_g002,73.93,6.85,1.93,3.54,#N/A,#N/A
PgR002_g130,73.69,9.42,2.91,3.23,#N/A,#N/A
PgR002_g252,6629.45,-0.87,0.29,-3.05,0.00,0.02
PgR002_g253,5.17,0.07,1.13,0.06,0.95,0.98
PgR002_g254,3865.14,-0.54,0.28,-1.92,0.06,0.19
PgR002_g255,374.85,0.52,0.30,1.73,0.08,0.24
PgR002_g256,3715.58,-0.30,0.42,-0.72,0.47,0.68
PgR002_g257,463.68,-0.01,0.24,-0.06,0.95,0.98
PgR002_g258,40.66,1.34,0.53,2.50,0.01,0.07
PgR002_g259,1496.10,-1.16,0.41,-2.86,0.00,0.03
PgR002_g260,2512.71,-0.08,0.32,-0.25,0.80,0.90
PgR002_g262,179.02,0.57,0.42,1.34,0.18,0.39
PgR002_g263,4715.14,-0.04,0.24,-0.16,0.88,0.94
PgR031_g050,72.91,9.21,1.95,4.71,#N/A,#N/A
PgR015_g054,72.53,8.84,1.49,5.95,#N/A,#N/A
PgR002_g267,17.54,9.28,1.66,5.58,0.00,0.00
PgR002_g268,749.59,2.04,0.41,5.03,0.00,0.00
PgR046_g068,71.77,8.82,2.06,4.29,#N/A,#N/A
PgR002_g270,154.24,0.71,0.27,2.62,0.01,0.06
PgB01_g121,69.03,6.36,1.13,5.62,#N/A,#N/A
PgR002_g272,792.39,-0.28,0.19,-1.52,0.13,0.32
PgR002_g273,14.88,0.59,1.46,0.40,0.69,0.83
PgR002_g274,1305.02,1.03,0.36,2.86,0.00,0.03
PgR002_g275,3684.30,-0.29,0.39,-0.76,0.45,0.66
PgR002_g276,11.29,0.23,0.76,0.31,0.76,0.88
PgR002_g277,8.11,1.83,1.09,1.68,0.09,0.26
PgR002_g278,19.77,1.91,0.72,2.66,0.01,0.05
PgR002_g279,69.66,-0.68,0.70,-0.97,0.33,0.56
PgR002_g280,307.99,-0.69,0.56,-1.24,0.21,0.43
PgR002_g281,1129.01,0.40,0.28,1.43,0.15,0.35
PgR002_g282,1477.15,0.23,0.27,0.86,0.39,0.61
PgR003_g001,4217.79,0.34,0.23,1.45,0.15,0.34
PgR003_g003,1663.18,0.10,0.23,0.42,0.67,0.82
PgR003_g004,7566.12,-0.87,0.57,-1.53,0.13,0.31
PgR003_g005,266.57,1.96,0.70,2.78,0.01,0.04
PgR003_g006,52.13,3.15,0.71,4.44,0.00,0.00
PgR003_g008,264.70,0.82,0.59,1.39,0.16,0.37
PgR003_g009,1393.85,1.91,0.54,3.50,0.00,0.01
PgR003_g011,56.18,1.08,1.49,0.73,0.47,0.67
PgR003_g012,2858.25,-0.68,0.37,-1.84,0.07,0.21
PgR003_g013,57644.90,-0.52,0.44,-1.20,0.23,0.45
PgR003_g014,115693.15,0.00,0.27,0.01,0.99,1.00
PgR003_g016,1.79,-0.07,1.60,-0.05,0.96,0.98
PgR003_g017,12957.58,-0.33,0.50,-0.66,0.51,0.71
PgR003_g018,79194.41,-0.43,0.40,-1.09,0.28,0.50
PgR003_g019,370.57,0.03,0.53,0.06,0.95,0.98
PgR003_g020,54.24,2.91,0.66,4.41,0.00,0.00
PgR003_g023,2410.83,-0.87,0.50,-1.75,0.08,0.24
PgR003_g024,269.22,1.22,0.71,1.70,0.09,0.25
PgR003_g026,133.32,2.93,1.79,1.63,0.10,0.28
PgR046_g074,68.42,8.03,1.95,4.11,#N/A,#N/A
PgR003_g028,17.39,1.15,0.90,1.28,0.20,0.42
PgR003_g029,132.25,0.69,0.51,1.35,0.18,0.38
PgR003_g030,305.27,-0.50,0.31,-1.64,0.10,0.27
PgR003_g031,38.66,-0.33,1.24,-0.26,0.79,0.90
PgR003_g032,739.01,-0.25,0.83,-0.30,0.76,0.88
PgR003_g033,2196.39,0.52,0.78,0.67,0.50,0.70
PgR003_g034,12126.27,-0.17,0.76,-0.22,0.82,0.91
PgR003_g036,7942.35,-0.41,0.26,-1.61,0.11,0.28
PgR003_g037,1800.10,-0.41,0.23,-1.78,0.07,0.22
PgR003_g038,1368.93,-0.30,0.32,-0.93,0.35,0.57
PgR003_g039,266.17,0.76,0.30,2.53,0.01,0.07
PgR003_g041,21.06,1.37,1.44,0.95,0.34,0.57
PgR003_g043,50.68,0.55,1.59,0.35,0.73,0.86
PgR003_g044,1000.93,0.52,0.30,1.73,0.08,0.24
PgR003_g045,320.03,1.29,0.75,1.72,0.09,0.25
PgR003_g046,28.91,1.23,1.09,1.13,0.26,0.48
PgR003_g047,2.50,1.72,1.66,1.04,0.30,0.52
PgR003_g048,615.22,-1.37,0.45,-3.06,0.00,0.02
PgR003_g049,3264.98,-0.41,0.36,-1.15,0.25,0.47
PgR003_g050,14.13,-4.01,1.54,-2.61,0.01,0.06
PgR003_g051,918.30,0.30,0.21,1.48,0.14,0.33
PgR003_g053,502.51,0.36,0.25,1.46,0.14,0.34
PgR003_g054,1637.60,0.92,0.59,1.55,0.12,0.31
PgR003_g055,1005.10,-0.05,0.33,-0.17,0.87,0.94
PgR003_g056,8.41,-0.03,0.88,-0.03,0.98,0.99
PgR003_g057,485.37,0.13,0.27,0.47,0.64,0.80
PgR003_g058,671.28,-0.42,0.28,-1.49,0.14,0.33
PgR003_g059,36.32,0.10,0.46,0.22,0.83,0.91
PgR003_g060,248.34,0.05,0.93,0.06,0.95,0.98
PgR003_g061,1282.38,-0.50,0.17,-2.99,0.00,0.02
PgR003_g062,72.80,0.26,1.27,0.20,0.84,0.92
PgR003_g063,690.06,3.73,0.98,3.83,0.00,0.00
PgR003_g064,2190.10,-0.20,0.31,-0.66,0.51,0.71
PgR003_g066,29.63,0.03,1.16,0.02,0.98,0.99
PgR003_g067,61.77,1.85,1.33,1.40,0.16,0.36
PgR003_g068,5277.11,-0.11,0.30,-0.38,0.70,0.84
PgR003_g069,27.41,0.45,0.85,0.54,0.59,0.77
PgR003_g070,5115.68,-0.21,0.16,-1.33,0.18,0.39
PgR003_g071,14.36,1.14,1.37,0.83,0.41,0.62
PgR003_g072,1797.95,0.14,0.19,0.70,0.48,0.69
PgR003_g073,3346.10,3.21,0.62,5.17,0.00,0.00
PgR003_g074,63.47,2.76,0.70,3.97,0.00,0.00
PgR003_g075,5659.56,0.91,0.42,2.18,0.03,0.12
PgR003_g076,3.01,0.98,1.54,0.63,0.53,0.72
PgR003_g077,2286.88,-0.34,0.28,-1.21,0.23,0.45
PgR003_g078,197.30,2.23,0.65,3.45,0.00,0.01
PgR003_g080,3459.45,-0.86,0.24,-3.60,0.00,0.00
PgR003_g081,17.87,0.57,1.00,0.57,0.57,0.75
PgR003_g082,25.69,0.61,1.02,0.60,0.55,0.74
PgR003_g083,12.37,-1.95,0.88,-2.20,0.03,0.12
PgR003_g084,836.45,0.67,0.34,1.95,0.05,0.18
PgR003_g085,21.96,-0.57,0.94,-0.61,0.54,0.73
PgR003_g086,18.65,-0.49,1.55,-0.32,0.75,0.87
PgR003_g087,178.51,3.00,1.19,2.52,0.01,0.07
PgR003_g088,351.60,-0.34,1.71,-0.20,0.84,0.92
PgR003_g089,283.61,-0.26,0.68,-0.38,0.71,0.84
PgR003_g090,987.83,-0.03,0.18,-0.19,0.85,0.93
PgR003_g091,569.70,0.84,0.22,3.80,0.00,0.00
PgR003_g092,81.50,0.78,1.05,0.74,0.46,0.67
PgR003_g093,18977.19,-1.48,0.61,-2.45,0.01,0.08
PgR003_g094,43951.16,-0.55,0.41,-1.32,0.19,0.40
PgR003_g095,2619.23,-0.22,0.32,-0.71,0.48,0.69
PgR003_g096,5011.65,-0.02,0.47,-0.04,0.96,0.98
PgR003_g097,323.71,0.44,0.52,0.85,0.39,0.61
PgR003_g098,35283.74,1.25,0.74,1.69,0.09,0.26
PgR003_g099,13061.43,-0.39,0.30,-1.31,0.19,0.40
PgR003_g100,336.92,0.11,0.33,0.35,0.73,0.86
PgR003_g101,135.04,0.39,0.31,1.24,0.22,0.43
PgR003_g102,863.85,0.35,0.28,1.26,0.21,0.42
PgR003_g103,1054.53,0.01,0.27,0.05,0.96,0.98
PgR003_g104,514.30,0.05,0.33,0.16,0.88,0.94
PgR003_g105,16.62,-0.51,1.14,-0.44,0.66,0.81
PgR003_g106,51.71,-0.33,0.62,-0.54,0.59,0.77
PgR003_g107,4495.13,-0.58,0.36,-1.59,0.11,0.29
PgR003_g108,12687.06,-1.29,0.39,-3.31,0.00,0.01
PgR003_g109,185.89,0.68,0.32,2.10,0.04,0.14
PgR003_g110,82.14,0.66,0.45,1.48,0.14,0.33
PgR003_g111,12813.89,-0.50,0.29,-1.75,0.08,0.23
PgR003_g112,130.86,-0.31,0.95,-0.33,0.74,0.87
PgR003_g115,35.06,1.56,0.66,2.38,0.02,0.09
PgR003_g116,645.49,-0.45,0.33,-1.35,0.18,0.38
PgR003_g117,13976.37,-0.13,0.32,-0.40,0.69,0.83
PgR003_g118,551.84,-0.25,0.18,-1.40,0.16,0.36
PgR003_g119,8717.06,-0.63,0.24,-2.64,0.01,0.05
PgR003_g120,37593.79,-0.13,0.26,-0.49,0.62,0.79
PgR003_g121,207.97,0.95,0.37,2.56,0.01,0.06
PgR003_g122,3.23,1.64,1.66,0.99,0.32,0.55
PgR003_g123,8535.94,0.27,0.24,1.11,0.27,0.49
PgR003_g124,4013.14,0.14,0.20,0.72,0.47,0.68
PgR003_g125,991.97,-0.23,0.29,-0.79,0.43,0.65
PgR003_g126,129.08,2.55,0.79,3.24,0.00,0.01
PgR003_g127,2435.43,1.94,0.91,2.12,0.03,0.13
PgR003_g128,215.29,0.35,0.78,0.45,0.65,0.81
PgR003_g129,141.62,2.41,1.13,2.13,0.03,0.13
PgR003_g135,21.16,-0.30,1.09,-0.27,0.79,0.89
PgR003_g137,5.05,1.27,1.48,0.86,0.39,0.61
PgR003_g138,1253.31,0.18,0.24,0.73,0.47,0.67
PgR003_g139,3621.06,-0.11,0.36,-0.31,0.75,0.87
PgR003_g140,4061.59,-0.39,0.16,-2.43,0.01,0.08
PgR003_g141,475.99,-0.02,0.24,-0.07,0.95,0.97
PgR003_g142,1077.85,-0.24,0.21,-1.13,0.26,0.48
PgR003_g143,7168.17,0.02,0.16,0.11,0.91,0.95
PgR003_g144,742.84,4.41,0.86,5.11,0.00,0.00
PgR003_g145,1787.96,4.42,0.95,4.64,0.00,0.00
PgR003_g146,612.71,5.01,1.01,4.99,0.00,0.00
PgR003_g147,21.45,0.89,1.60,0.56,0.58,0.76
PgR003_g150,129.89,3.50,1.00,3.51,0.00,0.01
PgR003_g151,24176.87,-0.22,0.17,-1.31,0.19,0.40
PgR003_g152,3.21,5.69,1.80,3.17,0.00,0.02
PgR003_g153,4927.05,-0.39,0.18,-2.15,0.03,0.13
PgR010_g138,68.13,8.50,1.34,6.34,#N/A,#N/A
PgR003_g155,329.76,0.36,0.67,0.55,0.58,0.76
PgR003_g156,5022.91,-0.74,0.32,-2.35,0.02,0.09
PgR003_g157,29317.37,-0.09,0.51,-0.18,0.86,0.93
PgR003_g158,15.67,2.77,1.03,2.69,0.01,0.05
PgR003_g159,605.60,1.24,0.54,2.31,0.02,0.10
PgR003_g160,2503.26,-0.70,0.37,-1.92,0.05,0.18
PgR003_g161,49657.28,-0.39,0.25,-1.61,0.11,0.28
PgR003_g162,11221.84,-1.31,0.60,-2.18,0.03,0.12
PgR003_g163,228.36,-0.62,0.43,-1.44,0.15,0.35
PgR003_g164,600.66,-0.18,0.31,-0.58,0.57,0.75
PgR003_g165,2855.11,1.02,1.00,1.02,0.31,0.53
PgR003_g166,2425.57,-0.69,0.26,-2.64,0.01,0.05
PgR003_g169,856.79,0.27,0.41,0.67,0.51,0.71
PgR003_g170,35.81,-0.07,1.44,-0.05,0.96,0.98
PgR003_g171,1289.08,-0.60,0.31,-1.92,0.06,0.19
PgR003_g173,9856.97,0.38,0.27,1.40,0.16,0.36
PgR003_g174,2779.44,3.52,0.69,5.07,0.00,0.00
PgR003_g175,11.89,5.64,1.17,4.83,0.00,0.00
PgR003_g176,2067.46,-0.15,0.33,-0.44,0.66,0.81
PgR003_g177,2025.66,0.02,0.39,0.05,0.96,0.98
PgR003_g178,234.77,2.54,0.93,2.73,0.01,0.04
PgR003_g180,95.97,2.06,1.10,1.87,0.06,0.20
PgR003_g181,650.18,-0.01,0.14,-0.09,0.93,0.97
PgR003_g182,42.38,-1.30,1.53,-0.85,0.40,0.61
PgR003_g183,11624.27,0.97,0.60,1.63,0.10,0.28
PgR003_g184,65.88,-0.64,0.61,-1.05,0.29,0.52
PgR003_g185,2170.52,0.00,0.22,0.02,0.98,0.99
PgR003_g186,288.46,-0.89,0.57,-1.56,0.12,0.30
PgR003_g187,432.26,0.72,0.69,1.04,0.30,0.52
PgR003_g188,12.74,1.76,0.86,2.06,0.04,0.15
PgR003_g189,9.67,1.23,0.94,1.31,0.19,0.40
PgR003_g191,586.95,-0.31,0.25,-1.26,0.21,0.42
PgR003_g192,284.97,0.09,0.16,0.58,0.56,0.75
PgR003_g193,2498.84,-0.82,0.29,-2.80,0.01,0.04
PgR003_g194,11396.51,-0.90,0.24,-3.81,0.00,0.00
PgR003_g196,175.41,2.14,1.24,1.72,0.08,0.24
PgR003_g197,251.13,0.36,0.21,1.71,0.09,0.25
PgR003_g198,334.59,3.08,0.91,3.38,0.00,0.01
PgR003_g199,44.43,-2.01,1.20,-1.67,0.09,0.26
PgR003_g200,617.98,-0.36,0.25,-1.44,0.15,0.35
PgR003_g202,29.04,7.15,1.29,5.55,0.00,0.00
PgR003_g203,32312.92,3.54,0.69,5.15,0.00,0.00
PgR003_g204,379.60,5.66,0.74,7.69,0.00,0.00
PgR003_g205,1949.77,-0.22,0.23,-0.93,0.35,0.57
PgR003_g206,587.84,-0.21,0.26,-0.80,0.43,0.64
PgR003_g207,2828.21,-0.29,0.13,-2.26,0.02,0.11
PgR003_g208,1671.61,1.10,0.68,1.61,0.11,0.28
PgR003_g209,2.95,-1.14,1.33,-0.86,0.39,0.61
PgR003_g211,12806.95,-0.60,0.62,-0.97,0.33,0.56
PgR003_g212,24539.78,-0.25,0.59,-0.42,0.68,0.83
PgR003_g213,303.39,0.23,0.29,0.79,0.43,0.64
PgR003_g215,10.52,0.38,1.78,0.21,0.83,0.92
PgR003_g216,37.62,2.22,1.00,2.21,0.03,0.12
PgR003_g217,604.47,0.37,0.23,1.58,0.11,0.29
PgR003_g218,447.85,0.19,0.19,1.04,0.30,0.52
PgR003_g219,605.50,-0.37,0.20,-1.85,0.06,0.20
PgR003_g220,424.66,0.15,0.28,0.51,0.61,0.78
PgR003_g221,5258.29,-0.64,0.35,-1.84,0.07,0.21
PgR003_g223,2015.45,0.71,0.21,3.37,0.00,0.01
PgR003_g224,1250.91,0.53,0.40,1.32,0.19,0.40
PgR003_g225,14243.69,-0.45,0.24,-1.86,0.06,0.20
PgR003_g226,1601.67,0.32,0.33,0.99,0.32,0.55
PgR003_g227,4.39,0.23,2.20,0.10,0.92,0.96
PgR003_g228,40477.54,-0.99,0.75,-1.33,0.18,0.39
PgR003_g230,262.41,7.31,0.90,8.09,0.00,0.00
PgR003_g232,6079.55,-0.36,0.45,-0.78,0.43,0.65
PgR003_g233,89.65,0.01,0.60,0.01,0.99,1.00
PgR003_g234,137.72,0.71,0.75,0.95,0.34,0.57
PgR003_g235,17.87,2.15,1.23,1.75,0.08,0.23
PgR003_g236,36.12,-0.86,0.40,-2.17,0.03,0.12
PgR003_g237,17467.99,-0.90,0.33,-2.74,0.01,0.04
PgR003_g238,2.79,3.18,1.52,2.09,0.04,0.14
PgR003_g239,95.08,1.07,0.86,1.24,0.22,0.43
PgR003_g240,7.65,3.15,1.57,2.00,0.05,0.16
PgR003_g241,7515.98,1.02,0.40,2.55,0.01,0.06
PgR003_g243,49.25,0.71,1.05,0.67,0.50,0.70
PgR003_g244,675.16,-0.70,0.53,-1.30,0.19,0.40
PgR003_g246,181.08,-0.20,0.50,-0.40,0.69,0.83
PgR003_g247,716.74,0.24,0.31,0.79,0.43,0.64
PgR003_g248,1602.04,0.51,0.57,0.90,0.37,0.59
PgR003_g249,176.25,-0.46,0.47,-0.99,0.32,0.55
PgR003_g253,6.19,2.03,1.19,1.70,0.09,0.25
PgR003_g255,676.42,-0.09,0.19,-0.48,0.63,0.80
PgR003_g256,112.02,-0.62,0.60,-1.03,0.30,0.52
PgR003_g257,1314.20,-0.49,0.23,-2.15,0.03,0.13
PgR003_g258,2163.60,-0.29,0.22,-1.33,0.18,0.39
PgR003_g259,178.85,0.78,1.09,0.71,0.48,0.68
PgR003_g260,4.46,0.07,2.29,0.03,0.98,0.99
PgR003_g262,6339.56,1.50,0.70,2.14,0.03,0.13
PgR003_g263,14221.00,-0.52,0.22,-2.39,0.02,0.08
PgR003_g264,296.46,0.50,0.80,0.62,0.53,0.73
PgR003_g265,99.34,2.47,0.95,2.62,0.01,0.06
PgR003_g266,10.51,3.95,1.16,3.41,0.00,0.01
PgR003_g267,153.97,0.56,0.61,0.93,0.35,0.58
PgR003_g268,776.28,3.27,0.70,4.70,0.00,0.00
PgR003_g269,4945.27,-0.23,0.18,-1.24,0.22,0.43
PgR003_g270,239.96,0.05,0.22,0.24,0.81,0.91
PgR003_g271,1621.41,0.04,0.13,0.29,0.77,0.88
PgR004_g001,261.86,1.02,1.91,0.53,0.60,0.77
PgR004_g002,155.56,1.18,1.43,0.83,0.41,0.63
PgR004_g003,615.95,-0.39,0.30,-1.29,0.20,0.41
PgR004_g005,4.59,-0.97,1.09,-0.89,0.38,0.60
PgR004_g006,18.35,-1.15,0.92,-1.25,0.21,0.43
PgR004_g007,807.33,-0.27,0.21,-1.28,0.20,0.42
PgR004_g009,87.16,0.71,1.50,0.48,0.63,0.80
PgR004_g011,29.38,0.88,1.49,0.59,0.55,0.74
PgR004_g012,21.76,6.14,1.25,4.93,0.00,0.00
PgR004_g013,3.13,-0.54,1.74,-0.31,0.75,0.87
PgR004_g016,589.88,1.83,0.60,3.04,0.00,0.02
PgR004_g133,65.78,9.31,1.85,5.02,#N/A,#N/A
PgR004_g018,857.92,1.00,0.48,2.08,0.04,0.14
PgR004_g019,1053.46,2.53,0.52,4.85,0.00,0.00
PgR004_g021,30158.74,-0.79,0.41,-1.94,0.05,0.18
PgR004_g023,74.96,1.59,1.05,1.51,0.13,0.32
PgR004_g024,60.42,0.61,0.79,0.77,0.44,0.65
PgR004_g026,574.62,0.16,0.28,0.56,0.58,0.76
PgR004_g027,772.88,0.29,0.16,1.84,0.07,0.21
PgR004_g028,183.82,0.26,2.01,0.13,0.90,0.95
PgR004_g030,89.08,-0.69,2.18,-0.32,0.75,0.87
PgR004_g032,4.66,2.54,1.67,1.52,0.13,0.32
PgR004_g033,27.40,0.82,0.76,1.08,0.28,0.50
PgR004_g035,686.27,0.01,0.33,0.03,0.97,0.99
PgR004_g036,11.71,3.04,1.85,1.64,0.10,0.27
PgR004_g037,2.66,2.94,2.41,1.22,0.22,0.44
PgR004_g039,19.60,0.23,1.56,0.15,0.88,0.94
PgR004_g040,400.93,-0.14,0.89,-0.15,0.88,0.94
PgR004_g041,3.29,-0.68,1.30,-0.52,0.60,0.77
PgR004_g042,43.66,4.10,0.80,5.14,0.00,0.00
PgR004_g043,3022.19,-0.04,0.26,-0.16,0.87,0.94
PgR004_g044,633.05,-0.17,0.20,-0.84,0.40,0.62
PgR004_g045,6099.13,-0.66,0.23,-2.90,0.00,0.03
PgR004_g046,2166.57,0.00,0.23,0.00,1.00,1.00
PgR004_g048,192.59,1.21,0.62,1.94,0.05,0.18
PgR004_g049,98.00,0.80,0.47,1.72,0.09,0.25
PgR004_g050,202608.92,-0.39,0.15,-2.63,0.01,0.05
PgR004_g052,124.35,0.25,0.32,0.78,0.43,0.65
PgR004_g053,10196.17,-0.67,0.27,-2.47,0.01,0.07
PgR004_g054,1091.87,-1.97,0.67,-2.94,0.00,0.03
PgR004_g055,871.18,0.03,0.40,0.07,0.94,0.97
PgR004_g056,2696.29,-0.10,0.14,-0.72,0.47,0.68
PgR004_g057,5793.56,-0.21,0.25,-0.88,0.38,0.60
PgR004_g058,872.04,2.83,0.59,4.83,0.00,0.00
PgR004_g059,37.59,8.20,1.25,6.58,0.00,0.00
PgR004_g060,536.40,1.63,0.68,2.42,0.02,0.08
PgR004_g061,841.96,5.00,0.87,5.78,0.00,0.00
PgR004_g062,49.10,0.40,1.12,0.36,0.72,0.85
PgR004_g064,8.41,3.65,2.33,1.57,0.12,0.30
PgR004_g065,3475.18,-0.45,0.22,-2.02,0.04,0.16
PgR004_g066,38.74,2.08,0.95,2.19,0.03,0.12
PgR004_g068,27.30,-0.93,0.86,-1.09,0.28,0.50
PgR004_g069,184.95,2.02,0.59,3.41,0.00,0.01
PgR004_g070,976.44,0.04,0.27,0.13,0.89,0.95
PgR004_g071,1170.05,-0.20,0.21,-0.92,0.36,0.58
PgR004_g074,79.57,1.04,1.05,0.99,0.32,0.55
PgR004_g076,33.54,1.06,1.14,0.93,0.35,0.57
PgR004_g077,201.40,-1.03,0.77,-1.34,0.18,0.39
PgR004_g078,12.17,-1.13,1.65,-0.68,0.50,0.70
PgR004_g079,95.13,-0.25,0.50,-0.49,0.62,0.79
PgR004_g080,3548.56,0.09,0.24,0.36,0.72,0.85
PgR059_g038,64.47,7.34,1.58,4.65,#N/A,#N/A
PgR004_g082,2490.97,-0.81,0.59,-1.38,0.17,0.37
PgR004_g083,82.34,1.31,0.68,1.93,0.05,0.18
PgR004_g084,138.20,0.48,1.07,0.45,0.65,0.81
PgR004_g085,899.95,-0.44,0.37,-1.20,0.23,0.45
PgR004_g086,6208.15,-0.43,0.21,-2.01,0.04,0.16
PgR004_g087,291.79,-0.69,0.29,-2.37,0.02,0.09
PgR004_g088,286.21,0.31,0.23,1.36,0.17,0.38
PgR004_g091,691.10,-0.03,0.22,-0.12,0.91,0.95
PgR004_g092,416.50,0.09,0.15,0.61,0.54,0.73
PgR004_g093,1184.47,0.34,0.40,0.84,0.40,0.62
PgR004_g095,1645.44,0.08,0.19,0.43,0.67,0.82
PgR004_g096,478.38,0.24,0.23,1.02,0.31,0.53
PgR004_g097,39.68,4.81,1.10,4.36,0.00,0.00
